state,Moisture,Vol,Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Total Sulfur,Sulfate S,Pyr S,Org S,Hocbtu
Alabama,2.84,36.58,12.73,5.2,69.96,1.39,7.82,2.9,0.13,1.78,0.99,12692
Alabama,2.5,32.9,22.2,4.6,60.6,1.4,8.4,2.9,0.01,2.24,0.6,10968
Alabama,2.3,39.5,9.9,5.1,72,1.5,8.4,2.9,0.03,2.04,0.86,12905
Alabama,2.8,36,17.2,5.1,64.8,1.5,8.6,2.9,0.01,2.55,0.32,11790
Alabama,2.24,40.19,16.07,5.19,65.56,1.49,8.79,2.9,0.04,1.52,1.34,11945
Alabama,48,18.6,17.5,7,21.4,0.4,50.8,2.9,0.66,1.06,2.13,3580
Alabama,1.66,23.15,23.61,4.2,64.02,1.27,4.1,2.8,0.11,1.95,0.74,11412
Alabama,1.4,32.2,16.2,4.8,69,1.5,5.6,2.8,0.01,2.16,0.65,12529
Alabama,1.5,36.2,17.4,5,67,1.4,6.4,2.8,0.01,2.5,0.26,12207
Alabama,1.6,34.2,17.9,4.7,66.4,1.5,6.6,2.8,0.01,1.85,0.93,12017
Alabama,2.7,33.8,12.1,5.2,71.9,1.5,6.6,2.8,0.01,2.03,0.8,12942
Alabama,2.4,39,10,5.4,72.2,1.7,7.8,2.8,0.01,2.23,0.62,13137
Alabama,2.5,39,8.5,5.4,73.4,1.7,8.1,2.8,0.01,2.6,0.22,13369
Alabama,2.56,37.47,13.27,5.02,67.62,1.61,9.68,2.8,0.06,1.66,1.08,12346
Alabama,2.8,39.5,8.7,5.2,71.8,1.5,10,2.8,0.01,1.81,1,13166
Alabama,2.87,36.72,10.34,5.02,71.04,1.66,9.15,2.79,0.16,1.36,1.27,12748
Alabama,1.64,26.58,15.22,4.56,71.56,1.32,4.56,2.78,0.09,2.05,0.64,12706
Alabama,2.25,26.2,26.53,4.09,59.54,1.22,5.84,2.78,0.27,1.68,0.83,10638
Alabama,2.22,36.53,10.13,5.24,71.95,1.57,8.34,2.77,0.11,1.37,1.29,13007
Alabama,3.61,31.68,14.13,4.9,68.86,1.34,8.03,2.74,0.31,1.16,1.27,12414
Alabama,2.59,31.6,11.05,5.03,71.39,1.56,8.25,2.72,0.55,1.29,0.88,12888
Alabama,1.8,31.9,16.6,4.8,68.4,1.5,6,2.7,0.01,1.08,1.66,12334
Alabama,2,35.7,11.4,5.2,72.9,1.7,6.1,2.7,0.01,2.28,0.41,13109
Alabama,2.1,35.7,13.4,5.2,70.4,1.8,6.5,2.7,0.01,2.13,0.51,12716
Alabama,2.49,28.28,10.87,4.92,73.5,1.35,6.66,2.7,0.38,1.24,1.08,13292
Alabama,1.7,34.8,14.2,4.9,69.3,1.5,7.3,2.7,0.04,1.97,0.69,12528
Alabama,1.6,37.7,8.1,5.3,75.2,1.5,7.3,2.7,0.02,1.99,0.64,13571
Alabama,2.1,31.2,22.8,4.5,61,1.5,7.4,2.7,0.01,2.52,0.2,11016
Alabama,3,36.7,6.9,5.4,75.2,1.7,8.1,2.7,0.03,1.59,1.09,13633
Alabama,2.4,37.7,11.5,5.1,70.7,1.6,8.3,2.7,0.01,2.3,0.37,12920
Alabama,2.6,35.5,10.5,5.6,70.6,1.5,9.1,2.7,0,1.34,1.38,12853
Alabama,1.4,27.96,14.27,4.68,72.69,1.35,4.32,2.69,0.09,1.81,0.79,12945
Alabama,1.23,22.45,12.38,4.54,75.79,1.27,3.4,2.62,0.1,2.08,0.44,13500
Alabama,1.9,30.7,18.3,4.7,66.2,1.6,6.6,2.6,0.01,2.27,0.28,11874
Alabama,1.6,31.1,25.5,4.3,59.4,1.2,6.9,2.6,0.03,1.31,1.29,10677
Alabama,2.2,31.7,19.5,4.8,63.9,1.3,7.9,2.6,0.01,2.11,0.51,11487
Alabama,1.9,38.5,9.7,5.5,72.6,1.7,7.9,2.6,0.01,1.6,1,13221
Alabama,2.1,41,7.5,5.5,74.6,1.8,7.9,2.6,0.01,2.02,0.62,13594
Alabama,2.4,36.1,6.9,5.3,75.8,1.5,7.9,2.6,0.01,2.19,0.42,13640
